순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,lat,lon
427,김진용치과의원,치과의원,세종특별자치시 조치원읍 조치원로 22,041-866-9281,36.602,127.297
428,우리들의원,의원,세종특별자치시 장군면 장척로 401,044-857-2345,36.53,127.235
429,정비뇨기과의원,의원,"세종특별자치시 조치원읍 새내로 97, 4층 402호",044-867-5350,36.602,127.297
430,유경의원,의원,세종특별자치시 부강면 부강2길 14,044-275-2160,36.53,127.355
431,장현진정형외과의원,의원,세종특별자치시 조치원읍 조치원로 62,044-863-1150,36.602,127.297
432,백내과의원,의원,"세종특별자치시 조치원읍 조치원2길 5, 2~4층",044-862-3838,36.602,127.297
433,성가정신건강의학과의원,의원,"세종특별자치시 조치원읍 새내로 97, 5층 1호",044-867-5357,36.602,127.297
434,중앙외과의원,의원,세종특별자치시 조치원읍 새내4길 3,044-867-0001,36.602,127.297
435,부강제일의원,의원,세종특별자치시 부강면 부강5길 11-1,044-275-3330,36.53,127.355
436,태화당한의원,한의원,세종특별자치시 조치원읍 새내로 98,044-865-1991,36.602,127.297
437,송태영치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31-1,044-865-2821,36.602,127.297
438,박성섭한의원,한의원,세종특별자치시 조치원읍 조치원4길 6,044-865-1985,36.602,127.297
439,누가연합의원,의원,세종특별자치시 전의면 읍내길 7,044-863-0494,36.614,127.325
440,부강수플란트치과의원,치과의원,세종특별자치시 부강면 부촌길 29,044-275-5585,36.53,127.355
441,서울외과의원,의원,세종특별자치시 조치원읍 새내로 68-1,044-863-4912,36.602,127.297
442,박종석치과의원,치과의원,세종특별자치시 조치원읍 장안로 1,044-862-4500,36.602,127.297
443,전의면보건지소,보건지소,세종특별자치시 전의면 만세길 20-12,044-301-2273,36.614,127.325
444,쌍류보건진료소,보건진료소,세종특별자치시 연서면 도신고복로 427,044-863-0176,36.567,127.24
445,연기면보건지소,보건지소,"세종특별자치시 연기면 당산로 154, 지1층",044-301-2212,36.558,127.315
446,와촌보건진료소,보건진료소,세종특별자치시 연서면 용연로 635,041-863-4700,36.567,127.24
447,금남면보건지소,보건지소,"세종특별자치시 금남면 용포로 57, 금남면보건지소",044-301-2243,36.538,127.336
448,연동면보건지소,보건지소,"세종특별자치시 연동면 장욱진로 7, 연동면 복합커뮤니티센터",044-301-2223,36.57,127.325
449,전동면보건지소,보건지소,세종특별자치시 전동면 운주산로 386,044-301-2282,36.59,127.31
450,연서면보건지소,보건지소,세종특별자치시 연서면 대첩로 238,044-301-2262,36.567,127.24
451,장군면보건지소,보건지소,세종특별자치시 장군면 장척로 398-3,044-301-2252,36.53,127.235
452,성심외과의원,의원,세종특별자치시 조치원읍 새내로 113,044-865-3616,36.602,127.297
453,이내과의원,의원,세종특별자치시 조치원읍 조치원로 31,044-865-3571,36.602,127.297
454,송곡보건진료소,보건진료소,세종특별자치시 전동면 금이로 184,044-867-1665,36.59,127.31
455,세종특별자치시보건소,보건소,"세종특별자치시 조치원읍 대첩로 32, 세종특별자치시보건소",044-301-2000,36.602,127.297
456,응암보건진료소,보건진료소,세종특별자치시 연동면 송암로 246 (응암보건진료소),041-864-9202,36.57,127.325
457,이종선치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31,044-865-6352,36.602,127.297
458,황용보건진료소,보건진료소,세종특별자치시 금남면 금남구즉로 487,044-867-8865,36.538,127.336
459,양곡보건진료소,보건진료소,세종특별자치시 전의면 양지편길 17 (양곡보건진료소),044-867-3471,36.614,127.325
460,송학보건진료소,보건진료소,세종특별자치시 장군면 황미창말길 5-4 (송학보건진료소),044-852-0564,36.53,127.235
461,전의의원,의원,세종특별자치시 전의면 읍내길 13,044-863-2828,36.614,127.325
